Date,Last
2022-03-23,41500
2022-03-24,41900
2022-03-25,42240
2022-03-28,42300
2022-03-29,42360
2022-03-30,41800
2022-03-31,43380
2022-04-01,43610
2022-04-04,43400
2022-04-05,43800
2022-04-06,43380
2022-04-07,43800
2022-04-08,42550
2022-04-11,43800
2022-04-12,42790
2022-04-13,43700
2022-04-18,43250
2022-04-19,43000
2022-04-20,44500
2022-04-21,43000
2022-04-22,43300
2022-04-25,41000
2022-04-26,40900
2022-04-27,41900
2022-04-28,42000
2022-04-29,38820
2022-05-02,41150
2022-05-03,41990
2022-05-04,42100
2022-05-05,41340
2022-05-06,39800
2022-05-09,39150
2022-05-10,39500
2022-05-11,39100
2022-05-12,39030
2022-05-13,39160
2022-05-16,38330
2022-05-17,38630
2022-05-18,37300
2022-05-19,35000
2022-05-20,38500
2022-05-23,39420
2022-05-24,40920
2022-05-25,41190
2022-05-26,41990
2022-05-27,43950
2022-05-31,45320
2022-06-01,43540
2022-06-02,43830
2022-06-03,43090
2022-06-06,44000
2022-06-07,42800
2022-06-08,42280
2022-06-09,42650
2022-06-10,43500
2022-06-13,40200
2022-06-14,41900
2022-06-15,40920
2022-06-16,40500
2022-06-17,39600
2022-06-21,37600
2022-06-22,37800
2022-06-23,37000
2022-06-24,37000
2022-06-28,36400
2022-06-29,35050
2022-06-30,33540
2022-07-01,34100
2022-07-05,35000
2022-07-06,35000
2022-07-07,35280
2022-07-08,35490
2022-07-11,34990
2022-07-12,35300
2022-07-13,33630
2022-07-14,33000
2022-07-15,33380
2022-07-18,34500
2022-07-19,35000
2022-07-21,35000
2022-07-22,35330
2022-07-25,34520
2022-07-26,35680
2022-07-27,35890
2022-07-28,38000
2022-07-29,35990
2022-08-01,34790
2022-08-02,34790
2022-08-03,34880
2022-08-04,36700
2022-08-05,37000
2022-08-08,37980
2022-08-09,37500
2022-08-10,37700
2022-08-11,38090
2022-08-12,39900
2022-08-16,39600
2022-08-17,39000
2022-08-18,38950
2022-08-19,38000
2022-08-22,36820
2022-08-23,36500
2022-08-24,36500
2022-08-25,37800
2022-08-26,37950
2022-08-29,37050
2022-08-30,36980
2022-08-31,34200
2022-09-01,33900
2022-09-02,34200
2022-09-05,34400
2022-09-06,34000
2022-09-07,32830
2022-09-08,33000
2022-09-09,33510
2022-09-12,33730
2022-09-13,33990
2022-09-14,33210
2022-09-15,33260
2022-09-16,33900
2022-09-19,33240
2022-09-20,33100
2022-09-21,34200
2022-09-22,34800
2022-09-23,33110
2022-09-26,30970
2022-09-27,32240
2022-09-28,31770
2022-09-29,31880
2022-09-30,31100
2022-10-03,32680
2022-10-04,34490
2022-10-05,34560
2022-10-06,34890
2022-10-07,35500
2022-10-10,34280
2022-10-11,34200
2022-10-12,34200
2022-10-13,33720
2022-10-14,34000
2022-10-18,35500
2022-10-19,34460
